,EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM
8709,AMAD15101,AMAD,2015,Spring,Nepal,SW Ridge,,,,Australia,Michael Groom,Australian Ama Dablam Expedition 2015,False,False,False,False,,,,,False,False,New Zealand,,2015-04-23,2015-05-05,,12,15,2015-05-08,"Bad conditions (deep snow, avalanching, falling ice, or rock)",Abandoned at 6300m due to deep snow and old tangled ropes,6300,False,False,False,2,800,10,0,0,2,0,0,False,True,False,False,False,False,True,False,False,,"BC(23/04,4570m),C1(26/04,5700m),C2(27/04,5900m),xxx(05/05,6300m)","The route normally is mainly rock climbing up to C2, but because of the ""excessive amount of snow, it was a completely different climb with deep snow from BC....We found during our stay in the Khumbu the weather to be completely unpredictable this season.""

""We left C2 at 3:00 am on the 5th of May and took six hours to climb the Grey Tower, a climb that should have only taken 2.5 hours. Deep snow and a tangle of old fixed ropes made it difficult to climb safely. We reached the top of the Mushroom Ridge (6300m) at 9:00 am and decided the conditions were going to make it difficult to get to the summit and back safely, so we turned around. Later that morning the weather changed for the worse, and it seemed like we had made the right decision.""

The top of the ridge was the team's high point. It was reached by Groom, Morgans, Robson, Sharp and Tucker, plus Lal Singh and Furba Tamang. That same day, 5th of May, they returned to C1, on the 6th they removed all their equipment to BC, and on the 8th they left BC.

Farmer never reached BC. He developed cerebral edema during the approach march and left the team by helicopter from Pheriche. Oxygen was used by Farmer at Pheriche Hospital.",,,Su-Swagatam Treks,True,False,False,False,False,,2461953
8710,ANN115101,ANN1,2015,Spring,Nepal,N Face,,,,Iran,Reza Shahlaee,Seven Summit Treks Annapurna I Expedition 2015,True,False,False,False,,,,,False,False,"China, Finland, Macedonia, Turkey","Pokhara, from Tatopani to BC by helicopter",2015-03-02,2015-03-24,1515,22,26,2015-03-28,Success (main peak),,8091,False,False,False,4,0,7,7,1,6,6,1,False,True,False,True,False,False,False,False,False,,"BC(02/03,4100m),C1(05/03,5100m),C2(09-10/03,5600m),C3(22/03,6500m),C4(23/03,6750m),Smt(24/03)","BC  02/03  4100m
C1  05/03  5100m
C2  09/10  5600m
C3  22/03  6500m
C4  23/03  6750m
Smt 24/03  Shahlaee, Dejanovic, Dong, Irmak, Liu, Mansikka, Shahlaee, Zhang, 
           Mingma Gyalje, Nima Ongchu, Nima Gyalzen, Kaji, Angeli, Pemba 
           between 3:15 pm and 4 pm.

Team left C4 at 12:30 am. Weather was clear and calm. The first 300m of the climb had fixed rope; however, afterwards the team split in groups of 6 and 7 and moved on a main rope together. The ascent was straightforward and the group reached the summit between 3:15 pm and 4 pm. They stayed for about 15 minutes to take pictures.

On the descent they used three main ropes to abseil down, which with 13 people took quite some time. When they reached 7400m at about 11:30 pm on 24 March, they were all very tired and decided to wait for the sun to come up. Mansikka and Pemba Sherpa continued their descent, however, without a rope. Shahlaee saw the headlamps from his spot at 7400m, but all of a sudden at about 3 am they were gone. The assumption is that Pemba Sherpa took a fall, bumped into Mansikka and they both fell to their deaths. On 26 March a helicopter came to look for the bodies and could identify them an altitude of about 7100m. It was impossible to retrieve them.

The 11 team members and Sherpas, who rested at 7400m waited for the sun to rise and continued down at about 6 am. After many abseils, they reached C4 at 10 am. Everyone stayed C4 and continued on 26 March. Apart from Irmak and Ngima, who stayed at C2, everyone descended to BC where they arrived at 8 pm on 26 March. Irmak and Ngima reached BC on 27 March.

The Spanish doctor Carlos visited their camp and helped them for frostbite and bandaged them. On 28 March a helicopter came and picked up the team.

Oxygen: 		
  Taken and used: from C4 to summit to C4 by Dejanovic, Dong, Irmak, Liu, Zhang,
    Nima Gyalzen, Kaji, Ang Geli and Pemba 
  Not taken, not used: Shahlaee, Mansikka, Mingma Gyalje and Nima Ongchu did not 
   use oxygen

Sherpas:
  Pemba Sherpa, 28/2/1980, Sankhuwasabha, Makalu-5
  Mingma Gyalje, 14/4/86, Beding, Dolakha
  Nima Gyalzen, 9/8/1985, Beding, Dolakha
  Nima Ongchhu Sherpa, 15/12/2041, Solukhumbu, Chaurikharka-8
  Kaji Sherpa, 15/2/2028, Sagarmatha, Solukhumbu, Tapting-9
  Ang Geli Sherpa, 20/11/2043, Janakpur, Dolakha, Gaurishankar-6",Irmak frostbite on all 10 toes; Dejanovic frostbite on 3 fingers of left hand; Ang Geli frostbite on 5 fingers of right hand; Mansikka and Pemba Sherpa fatal fall at 7100m.,,Dreamers Destination Treks,False,True,False,False,False,,2462091
8711,CHOY15101,CHOY,2015,Spring,China,NW side,,,,UK,Daniel Fuller,SummitClimb Cho Oyu Expedition 2015,False,False,False,False,,,,,False,False,"Australia, Austria, Germany, Romania, USA",,2015-04-22,2015-04-27,,5,38,2015-05-30,Other,Abandoned at 5200m due to earthquake,5200,False,False,False,0,0,7,0,0,3,0,0,False,False,True,False,False,False,False,True,False,,"BC(22/04,4900m),xxx(27/04,5200m)","Despite the fact that on 25 April there had been an earthquake that was disastrous for teams on the Nepalese side of Everest, this team was not aware of any serious problems on the Tibet side of Cho Oyu. They had arrived at Chinese BC for Cho Oyu on 22 April, and on the 27th all members except Merritt trekked about 300 meters up a hill from BC and returned to BC that day.

The 28th was a rest day, and they learned then that the Chinese authorities had cancelled all climbs in Tibet because of the earthquake. So on the 30th they left BC and went by road to Tingri and on to Lhasa. They spent two nights in Lhasa and on 3 May flew back to Kathmandu.",,,Everest Parivar,True,True,False,False,False,,2462800
8712,CHOY15102,CHOY,2015,Spring,China,NW side,,,,India,Debasish Biswas,"Cho Oyu, Everest & Lhotse 2015",False,False,False,False,,,,,False,False,,,2015-04-20,2015-04-24,,4,12,2015-05-02,Other,Abandoned at 5200m due to earthquake,5650,False,False,False,0,0,1,0,0,0,0,0,True,False,True,False,False,False,False,True,False,,"BC(20/04,4850m),ABC(24/04,5650m),xxx(24/04,5650m)","BC  20/04  4850m
ABC 24/04  5650m	
HPt 24/04  5650m by Biswas.

When the earthquake hit at about 11:50 am Nepali time, Biswas was in the dining tent, writing his dairy. It was a severe vibration and lasted for about a minute. He instantly came out and called the other members as they were all inside their tents. There was a strong wind at ABC and it took them a while to realize that this was an earthquake. Biswas was scared about the serac that was towering above their tent, but luckily nothing happened. He could then hear the sound of avalanches from the eastern slopes, which were far away.

They had to abandon the climb due to the Chinese Authority's decision to stop mountaineering for the season in Tibet.",,,Seven Summit Treks,True,True,False,False,False,,2462797
8713,EVER15168,EVER,2015,Spring,Nepal,S Col-SE Ridge,,,,USA,Garrett Madison,Madison Mountaineering Everest Expedition 2015,False,False,False,False,,,,,False,False,"Australia, Brazil, Guatemala, Germany, India, Japan, Norway",,2015-04-13,2015-04-25,,12,14,2015-04-27,Other,Abandoned at 6500m due to earthquake,6500,False,False,False,2,0,17,0,1,20,0,0,False,False,True,False,False,False,False,True,False,Attempted Lhotse (LHOT-151-04),"BC(13/04),C1(22/04,6000m),C2(25/04,6500m),xxx(25/04,6500m)","All members except Brier, Nissen and BC doctor Girawong, spent the nights of 25 and 26 April with 16 Sherpas at C2 (6500m) because the earthquake on the 25th had cut the climbing route and left them stranded. On the 27th they trekked down to C1 and were picked up from there by a helicopter and flown to BC. From there they trekked down to Gorak Shep; some members, including the two who intended to scale Lhotse. flew from Gorak Shep to Lukla and flew to Kathmandu via Biratnagar; the others trekked to Lukla and flew to Kathmandu directly.

The BC doctor, Marisa Eve Girawong, a physician's assistant specializing in emergency medicine, was killed by the earthquake-triggered avalanche in BC on 25 April.",,,Himalayan Guides,True,True,False,False,False,,2459153
8714,EVER15112,EVER,2015,Spring,China,N Col-NE Ridge,,,,Slovakia,Slavomir Fila,Slovak Expedition to Everest 2015,False,False,False,False,,,,,False,False,"Argentina, Canada, India, Mexico, Pakistan, Poland",Kodari->Tingri,2015-04-13,2015-04-17,,4,18,2015-05-01,Other,Abandoned at 6400m due to earthquake in Nepal,6400,False,False,False,0,0,9,0,0,9,0,0,False,False,True,False,False,False,False,False,False,,"BC(13/04,5200m),ABC(17/04,6400m),xxx(17/04,6400m)","BC  13/04  5200m
ABC 17/04  6400m
HPt 17/04  6400m at ABC by all team members.

The team was at ABC when the earthquake happened. They abandoned the climb on 29 April, the day the Chinese authorities decided to close down all mountains.",,,Seven Summit Treks,True,True,False,False,False,,2459145
8715,EVER15122,EVER,2015,Spring,Nepal,S Col-SE Ridge,,,,UK,Phil Crampton,Altitude Junkies Everest Expedition 2015,False,False,False,False,,,,,False,False,"Australia, Czech Republic, Guatemala, New Zealand, S Africa",,2015-04-11,2015-04-23,,12,20,2015-05-01,Other,Abandoned at 6400m due to earthquake,6400,False,False,False,0,0,7,0,0,14,0,0,False,False,True,False,False,False,False,True,False,,"BC(11/04,5250m),C1(6000m),C2(6400m),xxx.Mbrs(23/04,5900m),xxx.Shrpas(23-24/04,6400m)","No members had ventured far above BC before the earthquake struck the area on 25 April and triggered avalanches. But on 23 April all Everest (and Lhotse) members, plus 9 Sherpas, did go to just below C1 (to 5900m) and returned to BC the same day.

The team had a C1 at 6000m, but no one slept in it. All 14 of the expedition's climbing Sherpas carried loads to C2 (6400m) on the 20th and 24th and trekked back to BC. The team's two cooks/kitchen boys, Pemba Ngatar Sherpa and Pasang Lakpa Sherpa, also went up to C2 on the 20th and stayed there. During the earthquake, many crevasses opened up between C1 and C2 making it necessary to evacuate the kitchen staff by helicopter; they flew out to BC on the 27th.

On the day after it was decided to abandon the climb, and the members left BC on 1 May. They trekked to Pheriche, from where they flew by helicopter to Lukla. They went from there by plane to Biratnagar and thence to Kathmandu. The leader left BC on 3 May: he found a seat in a helicopter going directly to Kathmandu.

The team's only casually was Barbara Padilla, who suffered some broken teeth when she fell while running to a tent to take cover from an advancing avalanche on 25 April.",,,Expedition Himalaya,True,True,False,False,False,,2459151
8716,EVER15159,EVER,2015,Spring,Nepal,S Col-SE Ridge,,,,New Zealand,Guy Cotter,Adventure Consultants Everest 2015,False,False,False,False,,,,,False,False,"Australia, Iceland, Ireland, Italy, USA",,2015-04-12,2015-04-22,,10,42,2015-05-24,Other,Abandoned at 6400m due to earthquake,6400,False,False,False,2,0,14,0,0,27,0,6,False,False,True,False,False,False,False,True,False,,"BC(12/04,5300m),C1(24/04,6100m),C2(22-23/04,6400m),xxx","The expedition occupied BC at 5350m on 12 April, and all the members established C1 at 6100m on 24 April. They were forced to stay there by the disaster of the earthquake on 25 April that caused devastating avalanching from Pumori. Seven members were evacuated from C1 to BC by helicopter on 26 April and the rest of the members the next day.

Some of the load-carrying Sherpas went up to C2 at 6400m and slept there, but none of the members moved above C1.

Six of their Sherpas were killed by the avalanches: five on the day of the earthquake, 25 April, and one died in Kathmandu on the 30th from his injuries. They were:

  Chhimi Dawa Sherpa, 26/8/67, Bung-9, Solu
  Dawa Chhiri Sherpa, 25/11/89, Chaurikharka, Solu
  Jangbu Sherpa, cook, 9/5/61, Taksindu-5, Solu (died in Kathmandu)
  Milan Rai, kitchen staff, 9/5/73, Bung-4, Solu
  Pemba Sherpa, cook, 25/2/96, Taksindu-5, Solu
  Pemba Yish (Hissi) Sherpa, 31/1/82, Bung-9, Solu

Most of the team's members left BC by helicopter on 30th April; the leader and three members walked to Lukla and flew in a plane from there to Kathmandu.

Two Sherpas were seriously injured by the quake; they and 7 others were evacuated by helicopter.

Note: Cotter, Smith and Wells held permis for both Everest and Lhotse.",,,Himalayan Guides,True,True,False,False,False,,2459150
8717,EVER15160,EVER,2015,Spring,Nepal,S Col-SE Ridge,,,,USA,Ryan Waters,Mountain Professionals Everest Expedition 2015,False,False,False,False,,,,,False,False,"Norway, Sweden",,2015-04-12,2015-04-24,,12,19,2015-05-01,Other,Abandoned at 6100m due to earthquake,6100,False,False,False,1,0,4,0,0,5,0,0,False,False,True,False,False,False,False,True,False,,"BC(12/04,5350m),C1(14/04,6100m),xxx(24/04,6100m)","The team established BC on 12 April, and C1 was occupied on the 24th by all 4 Everest members and their only Lhotse climber in their brief acclimatization climb.  They descended to BC in the morning of the 25th, a few hours before the earthquake struck.

Fortunately they had pitched their BC close to the foot of the Khumbu Icefall, so it was not damaged by the avalanching triggered by the earthquake that destroyed camps farther away from the Icefall. All their tents were undamaged except for the shower tent, which had been tied down and therefore ripped.

The team stayed in BC until 1 May and then trekked to Lukla and flew to Kathmandu on the 4th.",,,Himalayan Trailblazer,True,True,False,False,False,,2459152
8718,EVER15129,EVER,2015,Spring,Nepal,S Col-SE Ridge,,,,USA,Dennis Broadwell,Mountain Gurus Everest Expedition 2015,False,False,False,False,,,,,False,False,,,2015-04-09,2015-04-23,,14,18,2015-04-27,Other,Abandoned at 6500m due to avalanche triggered by earthquake,6500,False,False,False,1,0,3,0,0,5,0,0,False,False,True,False,False,False,False,True,False,,"BC(09/04,5350m),C1(20/04,6100m),xxx(23/04,6500m)","All members occupied C1 (6100m) on 23 April and next day climbed up to the site of C2 (6400m), but returned to C1 for the night. On the 25th the earthquake triggered avalanching off Pumori at 11:55 am. The team had descended to BC at 11:40 am.

They abandoned their attempt to climb Everest, but they spent three nights in their BC, which was at the top end of the base camps and was undamaged. They helped during these next days in the efforts to rescue climbers who were trapped in and above BC.

On the 27th they trekked to Pheriche and from there flew by helicopter to Lukla.  On 1 May they reached Kathmandu by plane.",,,High Altitude Dreams,True,True,False,False,False,,2459151
